SRNO,INVDATE,INVNO,SUPPLIER,PARTY,ITEM,BRAND,HSN,PCS,QTY,PRATE,ADAT %,DISC %,DISC AMT,RATE,ACCVALUE,GSTPERC,GSTAMT,NET AMT,LRNO,CASE NO,TRANSPORT,SALESPERSON
1,29/08/2026,3375,MANIBHADRA TRADELINK,V R PAWAR SAREES,MANGO KASHMIRI D,SAI DESIGNER CREATIVE,540754,4,,2745,2,,,2745,10980,5,559.98,11759.58,,1774,J.D.LOGISTICS,RATAN BHAI
2,29/08/2026,3375,MANIBHADRA TRADELINK,V R PAWAR SAREES,RINA KASHMIRA D,SAI DESIGNER CREATIVE,540754,5,,2795,2,,,2795,13975,5,712.73,14967.23,,1774,J.D.LOGISTICS,RATAN BHAI
3,29/08/2026,3375,MANIBHADRA TRADELINK,V R PAWAR SAREES,SUMATI KASHMIRA D,SAI DESIGNER CREATIVE,540754,5,,2695,2,,,2695,13475,5,687.23,14431.73,,1774,J.D.LOGISTICS,RATAN BHAI
4,29/08/2026,3375,MANIBHADRA TRADELINK,V R PAWAR SAREES,PUNCH   ,SAI DESIGNER CREATIVE,540754,10,,1295,2,,,1295,12950,5,660.45,13869.45,,1774,J.D.LOGISTICS,RATAN BHAI
5,29/08/2026,3375,MANIBHADRA TRADELINK,V R PAWAR SAREES,BEAUTY PATTI,SAI DESIGNER CREATIVE,540754,5,,3125,2,,,3125,15625,5,796.88,16734.38,,1774,J.D.LOGISTICS,RATAN BHAI
